"1"	0.5	1	912	12	610																																	
"2"	0.5	660	926	414	987	249	545																															
"3"	0.5	767	976	915	764	62	74	638	515																													
"4"	0.5	867	953	755	670	788	466																															
"5"	0.5	914	883	327																																		
"6"	0.5	425	701	806	40	932	104	190																														
"7"	0.5	523	870	177	398																																	
"8"	0.5	656	609	127																																		
"9"	0.5	3	964	556	528																																	
"10"	0.5	927	882	36																																		
"11"	0.5	945	516	784	988	95	121	773	285	423	832																											
"12"	0.5	955	966	853	971	661	841	88	119	144	169	503	498																									
"13"	0.5	965	234	512																																		
"14"	0.5	653	992	943	881	432	671																															
"15"	0.5	862	557	592	342	134																																
"16"	0.5	916	692	263																																		
"17"	0.5	962	19	939	829	708	43	769	463	139	179	366	280	300																								
"18"	0.5	977	16	63	163	174	320	507																														
"19"	0.5	5	972	116	191	212	304																															
"20"	0.5	922	999	493																																		
"21"	0.5	968	39	480																																		
"22"	0.5	6	852	614	49	928																																
"23"	0.5	281	828	33	894	42	462	911	431	645																												
"24"	0.5	654	555	261	197	244																																
"25"	0.5	7	30	47	679	89	893	925	820	652	228	245	291	370																								
"26"	0.5	625	940	61																																		
"27"	0.5	787	287	738																																		
"28"	0.5	958	910	147	632																																	
"29"	0.5	980	991	35	168	975	141	475	428	164	537	649	470	230	243	257	389	383	464	416																		
"30"	0.5	982	934	154	59	937	600	114	264	278	316	727	377																									
"31"	0.5	983	220	255	631																																	
"32"	0.5	8	785	667																																		
"33"	0.5	952	739	730	540	411																																
"34"	0.5	961	442	80	499	626																																
"35"	0.5	9	981	20	23	997	26	502	998	839	490	82	91	93	94	869	100	107	112	664	698	176	793	202	207	581	571	594	262	382	292	297	301	580	336	526	590	650
"36"	0.5	783	884	296																																		
"37"	0.5	974	560	795	307	254																																
"38"	0.5	10	949	816	236																																	
"39"	0.5	17	907	812	885	744	25	32	133	511	449	496	150	166																								
"40"	0.5	54	547	69																																		
"41"	0.5	808	155	533																																		
"42"	0.5	11	803	22	343	56	178	193																														
"43"	0.5	459	538	14	1000	623	44	900	78	695	143	950	508	216	444	450	441	518																				
"44"	0.5	639	825	101	113	663	124	223	598																													
"45"	0.5	780	724	233																																		
"46"	0.5	13	848	995	728	471	175	517	454																													
"47"	0.5	929	957	27																																		
"48"	0.5	970	565	611	97																																	
"49"	0.5	855	756	621																																		
"50"	0.5	969	219	334																																		
"51"	0.5	990	680	844	913	821	673																															
"52"	0.5	15	936	589																																		
"53"	0.5	28	640	921	899	634	117	340	681	290	448																											
"54"	0.5	18	583	815																																		
"55"	0.5	188	72	394																																		
"56"	0.5	918	858	984	311	140	151	665	856	419	315																											
"57"	0.5	799	877	68	323																																	
"58"	0.5	818	129	344																																		
"59"	0.5	888	993	87	185	685	438																															
"60"	0.5	21	979	390	330	768	568																															
"61"	0.5	699	369	391																																		
"62"	0.5	989	593	643	674	115	306																															
"63"	0.5	146	485	105	250	872	76	211	123	108	646	376																										
"64"	0.5	683	357	451																																		
"65"	0.5	690	838	954	735	439	353	802																														
"66"	0.5	902	258	170	527																																	
"67"	0.5	919	196	947	876	75	99	210																														
"68"	0.5	930	29	84	905	572	378																															
"69"	0.5	509	967	162	172	242	763																															
"70"	0.5	826	687	710	50	51	282	148	938	152	161	753	192	566	195	227	761	771	563	759	325	364	387	397														
"71"	0.5	863	467	404																																		
"72"	0.5	860	85	333																																		
"73"	0.5	944	924	778	187	286																																
"74"	0.5	31	453	34																																		
"75"	0.5	402	996	541	570	65	70	457	530	396	213	319	189	525	265	273	446	348	356	455																		
"76"	0.5	986	239	801	810	38	891	48	81	90	128	500	217	723	488	267																						
"77"	0.5	749	760	830																																		
"78"	0.5	892	214	642	317	159																																
"79"	0.5	45	37	851	118	183	691	359	368	413																												
"80"	0.5	956	53	994	846	73	672	106	553	310	204																											
"81"	0.5	615	52	887	247	619																																
"82"	0.5	875	880	240	726	906	345	561	479																													
"83"	0.5	142	71	420	866	83	429																															
"84"	0.5	786	41	845	427	933	486	102	110	186	458	237	279																									
"85"	0.5	874	157	200																																		
"86"	0.5	909	536	295																																		
"87"	0.5	424	688	57	896	393	256	351	132	145	209	232																										
"88"	0.5	620	946	599	130	225																																
"89"	0.5	849	798	811																																		
"90"	0.5	948	521	741	706	298																																
"91"	0.5	622	362	765																																		
"92"	0.5	776	790	757	86	92	403																															
"93"	0.5	618	951	395	335	452																																
"94"	0.5	700	167	308																																		
"95"	0.5	854	973	269	549	412	329	722	659	198	597	248	372	435																								
"96"	0.5	66	890	433	903	686	252																															
"97"	0.5	504	920	751																																		
"98"	0.5	879	847	251	274																																	
"99"	0.5	58	917	775																																		
"100"	0.5	60	136	299	270	460																																
"101"	0.5	138	575	64	985	506	135	182	277	831	384	199	774	322	246	266	271	302	437	473	476	550																
"102"	0.5	79	935	857																																		
"103"	0.5	942	647	871	627	447	777	740																														
"104"	0.5	98	716	276																																		
"105"	0.5	388	165	491																																		
"106"	0.5	532	180	546																																		
"107"	0.5	908	379	558	461																																	
"108"	0.5	750	732	235																																		
"109"	0.5	131	889	418																																		
"110"	0.5	923	616	430																																		
"111"	0.5	941	477	587																																		
"112"	0.5	401	959	203	835	501																																
"113"	0.5	824	373	363																																		
"114"	0.5	445	807	122	472	294																																
"115"	0.5	103	111	293	662	137	201	314	542	579																												
"116"	0.5	791	886	184																																		
"117"	0.5	868	465	577																																		
"118"	0.5	380	843	346																																		
"119"	0.5	481	194	819																																		
"120"	0.5	612	901	745																																		
"121"	0.5	272	259	284																																		
"122"	0.5	709	399	666																																		
"123"	0.5	864	559	405																																		
